"town","landUse","status","acres"
"Brookfield","natural area","canopy",160.73
"Brookfield","other","canopy",0.29
"Brookfield","park","canopy",17.6
"Brookfield","residential","canopy",277.13
"Brookfield","transit","canopy",210.27
"Brookfield","utility","canopy",0.39
"Brookfield","vacant","canopy",1.53
"Brookfield","water","canopy",3.6
"BuffaloGrove","agriculture","canopy",2.38
"BuffaloGrove","cemetery","canopy",0.9
"BuffaloGrove","commercial","canopy",114.41
"BuffaloGrove","golf","canopy",46.44
"BuffaloGrove","industrial","canopy",0
"BuffaloGrove","institutional","canopy",31.4
"BuffaloGrove","natural area","canopy",23.34
"BuffaloGrove","other","canopy",0.43
"BuffaloGrove","park","canopy",74.58
"BuffaloGrove","residential","canopy",934.71
"BuffaloGrove","transit","canopy",347.65
"BuffaloGrove","utility","canopy",14.01
"BuffaloGrove","vacant","canopy",21.61
"BuffaloGrove","water","canopy",7.44
"BullValley","agriculture","canopy",397.36
"BullValley","cemetery","canopy",0
"BullValley","commercial","canopy",0
"BullValley","golf","canopy",30.78
"BullValley","industrial","canopy",0
"BullValley","institutional","canopy",11.52
"BullValley","natural area","canopy",50.55
"BullValley","other","canopy",0
"BullValley","park","canopy",0
"BullValley","residential","canopy",1365.69
"BullValley","transit","canopy",95.53
"BullValley","utility","canopy",0.36
"BullValley","vacant","canopy",291.65
"BullValley","water","canopy",0
"Burbank","agriculture","canopy",0
"Burbank","cemetery","canopy",0
"Burbank","commercial","canopy",6.06
"Burbank","golf","canopy",0
"Burbank","industrial","canopy",0
"Burbank","institutional","canopy",15.49
"Burbank","natural area","canopy",0
"Burbank","other","canopy",0
"Burbank","park","canopy",5.75
"Burbank","residential","canopy",310.91
"Burbank","transit","canopy",122.94
"Burbank","utility","canopy",1.22
"Burbank","vacant","canopy",5.41
"Burbank","water","canopy",0.64
"Burlington","agriculture","canopy",156.55
"Burlington","cemetery","canopy",0.16
"Burlington","commercial","canopy",12.06
"Burlington","golf","canopy",0
"Burlington","industrial","canopy",0
"Burlington","institutional","canopy",0.67
"Burlington","natural area","canopy",9.77
"Burlington","other","canopy",0
"Burlington","park","canopy",2.73
"Burlington","residential","canopy",54.93
"Burlington","transit","canopy",17.89
"Burlington","utility","canopy",0.49
"Burlington","vacant","canopy",39.81
"Burlington","water","canopy",0
"Burnham","agriculture","canopy",0
"Burnham","cemetery","canopy",0
"Burnham","commercial","canopy",8.5
"Burnham","golf","canopy",79.7
"Burnham","industrial","canopy",0
"Burnham","institutional","canopy",1.04
"Burnham","natural area","canopy",15.6
"Burnham","other","canopy",1.81
"Burnham","park","canopy",1.11
"Burnham","residential","canopy",30.58
"Burnham","transit","canopy",59
"Burnham","utility","canopy",7.91
"Burnham","vacant","canopy",51.68
"Burnham","water","canopy",4.21
"BurrRidge","agriculture","canopy",0
"BurrRidge","cemetery","canopy",0
"BurrRidge","commercial","canopy",43.12
"BurrRidge","golf","canopy",0.73
"BurrRidge","industrial","canopy",0
"BurrRidge","institutional","canopy",23.81
"BurrRidge","natural area","canopy",1.09
"BurrRidge","other","canopy",7.8
"BurrRidge","park","canopy",28.86
"BurrRidge","residential","canopy",1046.76
"BurrRidge","transit","canopy",147.22
"BurrRidge","utility","canopy",7.79
"BurrRidge","vacant","canopy",152.03
"BurrRidge","water","canopy",4.2
"CalumetCity","agriculture","canopy",0
"CalumetCity","cemetery","canopy",36.21
"CalumetCity","commercial","canopy",41.78
"CalumetCity","golf","canopy",27.19
"CalumetCity","industrial","canopy",0
"CalumetCity","institutional","canopy",11.42
"CalumetCity","natural area","canopy",395.84
"CalumetCity","other","canopy",3.77
"CalumetCity","park","canopy",10.5
"CalumetCity","residential","canopy",296.83
"CalumetCity","transit","canopy",188.01
"CalumetCity","utility","canopy",13.7
"CalumetCity","vacant","canopy",110.06
"CalumetCity","water","canopy",10.77
"CalumetPark","agriculture","canopy",0
"CalumetPark","cemetery","canopy",0
"CalumetPark","commercial","canopy",43.21
"CalumetPark","golf","canopy",5.63
"CalumetPark","industrial","canopy",0
"CalumetPark","institutional","canopy",10.06
"CalumetPark","natural area","canopy",42.26
"CalumetPark","other","canopy",6.73
"CalumetPark","park","canopy",7.87
"CalumetPark","residential","canopy",190.17
"CalumetPark","transit","canopy",174
"CalumetPark","utility","canopy",8.62
"CalumetPark","vacant","canopy",58.37
"CalumetPark","water","canopy",10.66
"CamptonHills","agriculture","canopy",585.71
"CamptonHills","cemetery","canopy",3.4
"CamptonHills","commercial","canopy",6.46
"CamptonHills","golf","canopy",0
"CamptonHills","industrial","canopy",0
"CamptonHills","institutional","canopy",8.47
"CamptonHills","natural area","canopy",156.57
"CamptonHills","other","canopy",0.41
"CamptonHills","park","canopy",5.27
"CamptonHills","residential","canopy",1913.9
"CamptonHills","transit","canopy",164.29
"CamptonHills","utility","canopy",1.52
"CamptonHills","vacant","canopy",104.71
"CamptonHills","water","canopy",1.29
"CarolStream","agriculture","canopy",5.07
"CarolStream","cemetery","canopy",0
"CarolStream","commercial","canopy",70.69
"CarolStream","golf","canopy",0
"CarolStream","industrial","canopy",0
"CarolStream","institutional","canopy",23.63
"CarolStream","natural area","canopy",27.52
"CarolStream","other","canopy",0.09
"CarolStream","park","canopy",31.5
"CarolStream","residential","canopy",452.63
"CarolStream","transit","canopy",135.91
"CarolStream","utility","canopy",14.28
"CarolStream","vacant","canopy",11.49
