"town","landUse","status","acres"
"Rockdale","transit","plantable",32.59
"Rockdale","utility","plantable",18.29
"Rockdale","vacant","plantable",14.98
"Rockdale","water","plantable",1.32
"RollingMeadows","agriculture","plantable",0.92
"RollingMeadows","cemetery","plantable",0.08
"RollingMeadows","commercial","plantable",446.88
"RollingMeadows","golf","plantable",0
"RollingMeadows","industrial","plantable",0
"RollingMeadows","institutional","plantable",124.98
"RollingMeadows","natural area","plantable",2.35
"RollingMeadows","other","plantable",5.95
"RollingMeadows","park","plantable",79.37
"RollingMeadows","residential","plantable",565.55
"RollingMeadows","transit","plantable",275.53
"RollingMeadows","utility","plantable",17.04
"RollingMeadows","vacant","plantable",15.76
"RollingMeadows","water","plantable",13.74
"Romeoville","agriculture","plantable",618.22
"Romeoville","cemetery","plantable",83.53
"Romeoville","commercial","plantable",1977.51
"Romeoville","golf","plantable",126.07
"Romeoville","industrial","plantable",0
"Romeoville","institutional","plantable",439.12
"Romeoville","natural area","plantable",197.02
"Romeoville","other","plantable",0.09
"Romeoville","park","plantable",133.63
"Romeoville","residential","plantable",1334.69
"Romeoville","transit","plantable",1153.46
"Romeoville","utility","plantable",391.18
"Romeoville","vacant","plantable",1235.02
"Romeoville","water","plantable",90.32
"Roselle","agriculture","plantable",11.24
"Roselle","cemetery","plantable",1.23
"Roselle","commercial","plantable",291.54
"Roselle","golf","plantable",0
"Roselle","industrial","plantable",0
"Roselle","institutional","plantable",162.06
"Roselle","natural area","plantable",16.8
"Roselle","other","plantable",0.25
"Roselle","park","plantable",153.2
"Roselle","residential","plantable",836.27
"Roselle","transit","plantable",279.99
"Roselle","utility","plantable",13.36
"Roselle","vacant","plantable",71.59
"Roselle","water","plantable",8.62
"Rosemont","agriculture","plantable",0
"Rosemont","cemetery","plantable",0
"Rosemont","commercial","plantable",204.31
"Rosemont","golf","plantable",0
"Rosemont","industrial","plantable",0
"Rosemont","institutional","plantable",11.07
"Rosemont","natural area","plantable",1.77
"Rosemont","other","plantable",1.68
"Rosemont","park","plantable",13.22
"Rosemont","residential","plantable",48.96
"Rosemont","transit","plantable",245.54
"Rosemont","utility","plantable",3.18
"Rosemont","vacant","plantable",43.41
"Rosemont","water","plantable",31.8
"RoundLake","agriculture","plantable",68.98
"RoundLake","cemetery","plantable",0
"RoundLake","commercial","plantable",73.7
"RoundLake","golf","plantable",0
"RoundLake","industrial","plantable",0
"RoundLake","institutional","plantable",127.34
"RoundLake","natural area","plantable",211.73
"RoundLake","other","plantable",0
"RoundLake","park","plantable",103
"RoundLake","residential","plantable",1273.19
"RoundLake","transit","plantable",261.49
"RoundLake","utility","plantable",31.57
"RoundLake","vacant","plantable",179.75
"RoundLake","water","plantable",1.71
"RoundLakeBeach","agriculture","plantable",25.26
"RoundLakeBeach","cemetery","plantable",0
"RoundLakeBeach","commercial","plantable",233.24
"RoundLakeBeach","golf","plantable",90.1
"RoundLakeBeach","industrial","plantable",0
"RoundLakeBeach","institutional","plantable",51.34
"RoundLakeBeach","natural area","plantable",79.81
"RoundLakeBeach","other","plantable",0
"RoundLakeBeach","park","plantable",102.15
"RoundLakeBeach","residential","plantable",793.79
"RoundLakeBeach","transit","plantable",252.8
"RoundLakeBeach","utility","plantable",76.45
"RoundLakeBeach","vacant","plantable",114.01
"RoundLakeBeach","water","plantable",4.28
"RoundLakeHeights","agriculture","plantable",4.57
"RoundLakeHeights","cemetery","plantable",0
"RoundLakeHeights","commercial","plantable",12.36
"RoundLakeHeights","golf","plantable",0
"RoundLakeHeights","industrial","plantable",0
"RoundLakeHeights","institutional","plantable",5.3
"RoundLakeHeights","natural area","plantable",4.85
"RoundLakeHeights","other","plantable",0
"RoundLakeHeights","park","plantable",13.95
"RoundLakeHeights","residential","plantable",109.32
"RoundLakeHeights","transit","plantable",27.18
"RoundLakeHeights","utility","plantable",0.64
"RoundLakeHeights","vacant","plantable",18.75
"RoundLakeHeights","water","plantable",1
"RoundLakePark","agriculture","plantable",217.97
"RoundLakePark","cemetery","plantable",0
"RoundLakePark","commercial","plantable",62.89
"RoundLakePark","golf","plantable",0
"RoundLakePark","industrial","plantable",0
"RoundLakePark","institutional","plantable",14.36
"RoundLakePark","natural area","plantable",0.1
"RoundLakePark","other","plantable",0
"RoundLakePark","park","plantable",16.75
"RoundLakePark","residential","plantable",391.63
"RoundLakePark","transit","plantable",38.95
"RoundLakePark","utility","plantable",7.4
"RoundLakePark","vacant","plantable",32.83
"RoundLakePark","water","plantable",6.35
"Sandwich","agriculture","plantable",386.74
"Sandwich","cemetery","plantable",0
"Sandwich","commercial","plantable",105.81
"Sandwich","golf","plantable",0
"Sandwich","industrial","plantable",0
"Sandwich","institutional","plantable",0
"Sandwich","natural area","plantable",0
"Sandwich","other","plantable",0
"Sandwich","park","plantable",0
"Sandwich","residential","plantable",25.1
"Sandwich","transit","plantable",23.6
"Sandwich","utility","plantable",1.81
"Sandwich","vacant","plantable",34.62
"Sandwich","water","plantable",0
"SaukVillage","agriculture","plantable",489.4
"SaukVillage","cemetery","plantable",4.07
"SaukVillage","commercial","plantable",122.6
"SaukVillage","golf","plantable",0
"SaukVillage","industrial","plantable",0
"SaukVillage","institutional","plantable",76.28
"SaukVillage","natural area","plantable",32.45
"SaukVillage","other","plantable",1.09
"SaukVillage","park","plantable",18.05
"SaukVillage","residential","plantable",388.79
"SaukVillage","transit","plantable",288.49
"SaukVillage","utility","plantable",12.86
"SaukVillage","vacant","plantable",145.68
"SaukVillage","water","plantable",39.88
"Schaumburg","agriculture","plantable",37.43
"Schaumburg","cemetery","plantable",2.02
"Schaumburg","commercial","plantable",1726.78
"Schaumburg","golf","plantable",166.92
"Schaumburg","industrial","plantable",0
"Schaumburg","institutional","plantable",291.73
"Schaumburg","natural area","plantable",76.86
"Schaumburg","other","plantable",3.43
"Schaumburg","park","plantable",465.74
"Schaumburg","residential","plantable",1931.68
"Schaumburg","transit","plantable",880.59
"Schaumburg","utility","plantable",87.35
"Schaumburg","vacant","plantable",191.5
"Schaumburg","water","plantable",91.39
"SchillerPark","agriculture","plantable",0
"SchillerPark","cemetery","plantable",31.22
"SchillerPark","commercial","plantable",172.24
"SchillerPark","golf","plantable",0
"SchillerPark","industrial","plantable",0
"SchillerPark","institutional","plantable",15.38
"SchillerPark","natural area","plantable",37.7
"SchillerPark","other","plantable",0.14
"SchillerPark","park","plantable",8.41
"SchillerPark","residential","plantable",182.67
"SchillerPark","transit","plantable",297.84
"SchillerPark","utility","plantable",2.79
"SchillerPark","vacant","plantable",47.77
"SchillerPark","water","plantable",0.41
"Shorewood","agriculture","plantable",622.59
"Shorewood","cemetery","plantable",0
"Shorewood","commercial","plantable",254.64
"Shorewood","golf","plantable",0
"Shorewood","industrial","plantable",0
"Shorewood","institutional","plantable",85.06
"Shorewood","natural area","plantable",95.18
"Shorewood","other","plantable",0.26
"Shorewood","park","plantable",63.33
"Shorewood","residential","plantable",1043.44
"Shorewood","transit","plantable",265.33
"Shorewood","utility","plantable",75.64
"Shorewood","vacant","plantable",571.27
"Shorewood","water","plantable",13.45
"Skokie","agriculture","plantable",37.43
"Skokie","cemetery","plantable",84.46
"Skokie","commercial","plantable",488.81
"Skokie","golf","plantable",159.71
"Skokie","industrial","plantable",0
"Skokie","institutional","plantable",220.52
"Skokie","natural area","plantable",47.8
"Skokie","other","plantable",0.15
"Skokie","park","plantable",89.09
"Skokie","residential","plantable",890.08
"Skokie","transit","plantable",400.85
"Skokie","utility","plantable",127.76
"Skokie","vacant","plantable",30.87
"Skokie","water","plantable",5.12
"SleepyHollow","agriculture","plantable",17.8
"SleepyHollow","cemetery","plantable",0
"SleepyHollow","commercial","plantable",11.27
"SleepyHollow","golf","plantable",0
"SleepyHollow","industrial","plantable",0
"SleepyHollow","institutional","plantable",18.87
"SleepyHollow","natural area","plantable",68.89
"SleepyHollow","other","plantable",0
"SleepyHollow","park","plantable",25.78
"SleepyHollow","residential","plantable",373.74
"SleepyHollow","transit","plantable",99.63
"SleepyHollow","utility","plantable",0
"SleepyHollow","vacant","plantable",19.82
"SleepyHollow","water","plantable",0.12
"SouthBarrington","agriculture","plantable",255.45
"SouthBarrington","cemetery","plantable",0
"SouthBarrington","commercial","plantable",173.29
"SouthBarrington","golf","plantable",0
"SouthBarrington","industrial","plantable",0
"SouthBarrington","institutional","plantable",132.28
"SouthBarrington","natural area","plantable",148.51
"SouthBarrington","other","plantable",0.02
"SouthBarrington","park","plantable",37.02
"SouthBarrington","residential","plantable",1645.78
"SouthBarrington","transit","plantable",208.77
"SouthBarrington","utility","plantable",100.48
"SouthBarrington","vacant","plantable",167.52
"SouthBarrington","water","plantable",23.26
"SouthChicagoHeights","agriculture","plantable",1.07
"SouthChicagoHeights","cemetery","plantable",0
"SouthChicagoHeights","commercial","plantable",128.39
"SouthChicagoHeights","golf","plantable",0
"SouthChicagoHeights","industrial","plantable",0
"SouthChicagoHeights","institutional","plantable",29.44
"SouthChicagoHeights","natural area","plantable",10.1
"SouthChicagoHeights","other","plantable",2.21
"SouthChicagoHeights","park","plantable",2.96
"SouthChicagoHeights","residential","plantable",154.58
"SouthChicagoHeights","transit","plantable",62.81
"SouthChicagoHeights","utility","plantable",21.76
"SouthChicagoHeights","vacant","plantable",57.51
"SouthChicagoHeights","water","plantable",0
"SouthElgin","agriculture","plantable",210.69
"SouthElgin","cemetery","plantable",0
"SouthElgin","commercial","plantable",769.68
"SouthElgin","golf","plantable",4.41
"SouthElgin","industrial","plantable",0
"SouthElgin","institutional","plantable",113.54
"SouthElgin","natural area","plantable",58.16
"SouthElgin","other","plantable",0.64
"SouthElgin","park","plantable",192.55
"SouthElgin","residential","plantable",901.64
"SouthElgin","transit","plantable",308.69
"SouthElgin","utility","plantable",42.82
"SouthElgin","vacant","plantable",160.63
"SouthElgin","water","plantable",3.44
"SouthHolland","agriculture","plantable",53.93
"SouthHolland","cemetery","plantable",0
"SouthHolland","commercial","plantable",577.66
"SouthHolland","golf","plantable",3.2
"SouthHolland","industrial","plantable",0
"SouthHolland","institutional","plantable",287.24
"SouthHolland","natural area","plantable",115.74
"SouthHolland","other","plantable",2.96
"SouthHolland","park","plantable",106.03
"SouthHolland","residential","plantable",781.3
"SouthHolland","transit","plantable",454.32
"SouthHolland","utility","plantable",18.55
"SouthHolland","vacant","plantable",94.29
"SouthHolland","water","plantable",2.51
"SpringGrove","agriculture","plantable",1199.43
"SpringGrove","cemetery","plantable",3.77
"SpringGrove","commercial","plantable",414.1
"SpringGrove","golf","plantable",1.73
"SpringGrove","industrial","plantable",0
"SpringGrove","institutional","plantable",18.29
"SpringGrove","natural area","plantable",22.29
"SpringGrove","other","plantable",0
"SpringGrove","park","plantable",66.42
"SpringGrove","residential","plantable",1396.53
"SpringGrove","transit","plantable",294.38
"SpringGrove","utility","plantable",1.04
"SpringGrove","vacant","plantable",298.37
"SpringGrove","water","plantable",27.67
"StCharles","agriculture","plantable",367.39
"StCharles","cemetery","plantable",20.53
"StCharles","commercial","plantable",1118.14
"StCharles","golf","plantable",350.9
"StCharles","industrial","plantable",0
"StCharles","institutional","plantable",566.5
"StCharles","natural area","plantable",113.74
"StCharles","other","plantable",0.27
"StCharles","park","plantable",438.62
"StCharles","residential","plantable",1237.7
"StCharles","transit","plantable",526.93
"StCharles","utility","plantable",44.58
"StCharles","vacant","plantable",248.79
"StCharles","water","plantable",56.39
"Steger","agriculture","plantable",155.01
"Steger","cemetery","plantable",0
"Steger","commercial","plantable",63.05
"Steger","golf","plantable",0
"Steger","industrial","plantable",0
"Steger","institutional","plantable",72.12
"Steger","natural area","plantable",0.02
"Steger","other","plantable",9.79
"Steger","park","plantable",18.98
"Steger","residential","plantable",521.16
"Steger","transit","plantable",131.89
"Steger","utility","plantable",9.73
"Steger","vacant","plantable",77.19
"Steger","water","plantable",4.13
"Stickney","agriculture","plantable",0
"Stickney","cemetery","plantable",44.3
"Stickney","commercial","plantable",172.26
"Stickney","golf","plantable",0
"Stickney","industrial","plantable",0
"Stickney","institutional","plantable",8.54
"Stickney","natural area","plantable",0
"Stickney","other","plantable",0
"Stickney","park","plantable",44.14
"Stickney","residential","plantable",100.06
"Stickney","transit","plantable",57.69
"Stickney","utility","plantable",290.91
"Stickney","vacant","plantable",27.22
"Stickney","water","plantable",0.73
"StonePark","agriculture","plantable",0
"StonePark","cemetery","plantable",0
"StonePark","commercial","plantable",143.46
"StonePark","golf","plantable",0
"StonePark","industrial","plantable",0
"StonePark","institutional","plantable",20.36
"StonePark","natural area","plantable",3.6
"StonePark","other","plantable",3.98
"StonePark","park","plantable",35.46
"StonePark","residential","plantable",68.55
"StonePark","transit","plantable",17.17
"StonePark","utility","plantable",3.91
"StonePark","vacant","plantable",1.18
"StonePark","water","plantable",0
"Streamwood","agriculture","plantable",71.57
"Streamwood","cemetery","plantable",0.01
"Streamwood","commercial","plantable",301.3
"Streamwood","golf","plantable",55.6
"Streamwood","industrial","plantable",0
"Streamwood","institutional","plantable",159.86
"Streamwood","natural area","plantable",78.49
"Streamwood","other","plantable",0.06
"Streamwood","park","plantable",214.03
"Streamwood","residential","plantable",1186.14
"Streamwood","transit","plantable",302.22
"Streamwood","utility","plantable",27.1
"Streamwood","vacant","plantable",59.03
"Streamwood","water","plantable",4.28
"SugarGrove","agriculture","plantable",2496.07
"SugarGrove","cemetery","plantable",4.66
"SugarGrove","commercial","plantable",167.06
"SugarGrove","golf","plantable",127.72
"SugarGrove","industrial","plantable",0
"SugarGrove","institutional","plantable",214.34
"SugarGrove","natural area","plantable",33.88
"SugarGrove","other","plantable",0
"SugarGrove","park","plantable",51.3
"SugarGrove","residential","plantable",773.4
"SugarGrove","transit","plantable",973.5
"SugarGrove","utility","plantable",5.28
"SugarGrove","vacant","plantable",530.9
"SugarGrove","water","plantable",6.5
"Summit","agriculture","plantable",0
"Summit","cemetery","plantable",0
"Summit","commercial","plantable",212.51
"Summit","golf","plantable",0
"Summit","industrial","plantable",0
"Summit","institutional","plantable",33.92
"Summit","natural area","plantable",0
"Summit","other","plantable",17.55
"Summit","park","plantable",41.01
"Summit","residential","plantable",94.72
"Summit","transit","plantable",158.07
"Summit","utility","plantable",92.71
"Summit","vacant","plantable",16.82
"Summit","water","plantable",2.06
"Symerton","agriculture","plantable",3.54
"Symerton","cemetery","plantable",0
"Symerton","commercial","plantable",0.84
"Symerton","golf","plantable",0
"Symerton","industrial","plantable",0
"Symerton","institutional","plantable",0.09
"Symerton","natural area","plantable",1.51
"Symerton","other","plantable",0
"Symerton","park","plantable",0
"Symerton","residential","plantable",5.78
"Symerton","transit","plantable",3.37
"Symerton","utility","plantable",0
"Symerton","vacant","plantable",1.36
"Symerton","water","plantable",0
"ThirdLake","agriculture","plantable",41.55
"ThirdLake","cemetery","plantable",0.09
"ThirdLake","commercial","plantable",19.7
"ThirdLake","golf","plantable",0
"ThirdLake","industrial","plantable",0
"ThirdLake","institutional","plantable",30.99
"ThirdLake","natural area","plantable",19.49
"ThirdLake","other","plantable",0
"ThirdLake","park","plantable",0
"ThirdLake","residential","plantable",56.49
"ThirdLake","transit","plantable",16.93
"ThirdLake","utility","plantable",0
"ThirdLake","vacant","plantable",19.59
"ThirdLake","water","plantable",5.12
"Thornton","agriculture","plantable",11.61
"Thornton","cemetery","plantable",25.76
"Thornton","commercial","plantable",716.94
"Thornton","golf","plantable",0
"Thornton","industrial","plantable",0
"Thornton","institutional","plantable",10.07
"Thornton","natural area","plantable",9.3
"Thornton","other","plantable",0.18
"Thornton","park","plantable",13.83
"Thornton","residential","plantable",75.9
"Thornton","transit","plantable",71.28
"Thornton","utility","plantable",9.98
"Thornton","vacant","plantable",5.55
"Thornton","water","plantable",0.01
"TinleyPark","agriculture","plantable",443.09
"TinleyPark","cemetery","plantable",7.24
"TinleyPark","commercial","plantable",899.15
"TinleyPark","golf","plantable",209.27
"TinleyPark","industrial","plantable",0
"TinleyPark","institutional","plantable",567.78
"TinleyPark","natural area","plantable",105.56
"TinleyPark","other","plantable",2.89
"TinleyPark","park","plantable",304.2
"TinleyPark","residential","plantable",2357.54
"TinleyPark","transit","plantable",835.16
"TinleyPark","utility","plantable",103.98
"TinleyPark","vacant","plantable",302.44
"TinleyPark","water","plantable",47.18
"TowerLakes","agriculture","plantable",0.01
"TowerLakes","cemetery","plantable",0
"TowerLakes","commercial","plantable",0
"TowerLakes","golf","plantable",0
"TowerLakes","industrial","plantable",0
"TowerLakes","institutional","plantable",0.42
"TowerLakes","natural area","plantable",16.7
"TowerLakes","other","plantable",0
"TowerLakes","park","plantable",2.8
"TowerLakes","residential","plantable",129.15
"TowerLakes","transit","plantable",27.49
"TowerLakes","utility","plantable",0.93
"TowerLakes","vacant","plantable",6.94
"TowerLakes","water","plantable",0
"TroutValley","agriculture","plantable",0
"TroutValley","cemetery","plantable",0
"TroutValley","commercial","plantable",0
"TroutValley","golf","plantable",0.01
"TroutValley","industrial","plantable",0
"TroutValley","institutional","plantable",0
"TroutValley","natural area","plantable",0.05
"TroutValley","other","plantable",0
"TroutValley","park","plantable",14.49
"TroutValley","residential","plantable",48.03
"TroutValley","transit","plantable",8.66
"TroutValley","utility","plantable",0
"TroutValley","vacant","plantable",5.83
"TroutValley","water","plantable",0.05
"Union","agriculture","plantable",178.22
"Union","cemetery","plantable",0
"Union","commercial","plantable",65.87
"Union","golf","plantable",0
"Union","industrial","plantable",0
"Union","institutional","plantable",22.74
"Union","natural area","plantable",2.37
"Union","other","plantable",0
"Union","park","plantable",0
"Union","residential","plantable",42.23
"Union","transit","plantable",35.66
"Union","utility","plantable",16.2
"Union","vacant","plantable",27.81
"Union","water","plantable",4.29
"UniversityPark","agriculture","plantable",1979.56
"UniversityPark","cemetery","plantable",4.48
"UniversityPark","commercial","plantable",635.17
"UniversityPark","golf","plantable",220.41
"UniversityPark","industrial","plantable",0
"UniversityPark","institutional","plantable",412.06
"UniversityPark","natural area","plantable",424.93
"UniversityPark","other","plantable",4.01
"UniversityPark","park","plantable",55.29
"UniversityPark","residential","plantable",286.22
"UniversityPark","transit","plantable",279.23
"UniversityPark","utility","plantable",96.33
"UniversityPark","vacant","plantable",387.44
"UniversityPark","water","plantable",11.15
"VenetianVillage","agriculture","plantable",56.83
"VenetianVillage","cemetery","plantable",0.11
"VenetianVillage","commercial","plantable",7.53
"VenetianVillage","golf","plantable",0
"VenetianVillage","industrial","plantable",0
"VenetianVillage","institutional","plantable",1.36
"VenetianVillage","natural area","plantable",272.03
"VenetianVillage","other","plantable",0
"VenetianVillage","park","plantable",0.66
"VenetianVillage","residential","plantable",192.48
"VenetianVillage","transit","plantable",54.36
"VenetianVillage","utility","plantable",0
"VenetianVillage","vacant","plantable",39.18
"VenetianVillage","water","plantable",2.76
"VernonHills","agriculture","plantable",114.32
"VernonHills","cemetery","plantable",6.64
"VernonHills","commercial","plantable",696.29
"VernonHills","golf","plantable",223.99
"VernonHills","industrial","plantable",0
"VernonHills","institutional","plantable",155.6
"VernonHills","natural area","plantable",20.56
"VernonHills","other","plantable",0.22
"VernonHills","park","plantable",358.27
"VernonHills","residential","plantable",729.93
"VernonHills","transit","plantable",281.78
"VernonHills","utility","plantable",40
"VernonHills","vacant","plantable",154.72
"VernonHills","water","plantable",21.73
"VillaPark","agriculture","plantable",0
"VillaPark","cemetery","plantable",0
"VillaPark","commercial","plantable",259.93
"VillaPark","golf","plantable",35.79
"VillaPark","industrial","plantable",0
"VillaPark","institutional","plantable",143.17
"VillaPark","natural area","plantable",34.85
"VillaPark","other","plantable",0
"VillaPark","park","plantable",37.63
"VillaPark","residential","plantable",730.85
"VillaPark","transit","plantable",205.89
"VillaPark","utility","plantable",6.05
"VillaPark","vacant","plantable",12.39
"VillaPark","water","plantable",1.09
"Virgil","agriculture","plantable",741.52
"Virgil","cemetery","plantable",0
"Virgil","commercial","plantable",14.39
"Virgil","golf","plantable",0
"Virgil","industrial","plantable",0
"Virgil","institutional","plantable",3.48
"Virgil","natural area","plantable",398.17
"Virgil","other","plantable",0
"Virgil","park","plantable",0
"Virgil","residential","plantable",38.64
"Virgil","transit","plantable",29.8
"Virgil","utility","plantable",0
"Virgil","vacant","plantable",1.56
"Virgil","water","plantable",0
"Volo","agriculture","plantable",668.34
"Volo","cemetery","plantable",0
"Volo","commercial","plantable",222.68
"Volo","golf","plantable",0.32
"Volo","industrial","plantable",0
"Volo","institutional","plantable",39.36
"Volo","natural area","plantable",62.49
"Volo","other","plantable",0
"Volo","park","plantable",11.82
"Volo","residential","plantable",337.11
"Volo","transit","plantable",161.85
"Volo","utility","plantable",11.69
"Volo","vacant","plantable",329.46
"Volo","water","plantable",2.31
"Wadsworth","agriculture","plantable",1350.63
"Wadsworth","cemetery","plantable",5.39
"Wadsworth","commercial","plantable",218.11
"Wadsworth","golf","plantable",0
"Wadsworth","industrial","plantable",0
"Wadsworth","institutional","plantable",12.77
"Wadsworth","natural area","plantable",565.33
"Wadsworth","other","plantable",0.15
"Wadsworth","park","plantable",13.35
"Wadsworth","residential","plantable",1094.8
"Wadsworth","transit","plantable",280.73
"Wadsworth","utility","plantable",68
"Wadsworth","vacant","plantable",234.58
"Wadsworth","water","plantable",1.31
"Warrenville","agriculture","plantable",69.77
"Warrenville","cemetery","plantable",2.35
"Warrenville","commercial","plantable",374.93
"Warrenville","golf","plantable",0
"Warrenville","industrial","plantable",0
"Warrenville","institutional","plantable",108.17
"Warrenville","natural area","plantable",172.15
"Warrenville","other","plantable",0.03
"Warrenville","park","plantable",38.92
"Warrenville","residential","plantable",673.18
"Warrenville","transit","plantable",255.39
"Warrenville","utility","plantable",16.19
"Warrenville","vacant","plantable",109.63
"Warrenville","water","plantable",25.79
"Wauconda","agriculture","plantable",124.44
"Wauconda","cemetery","plantable",4.59
"Wauconda","commercial","plantable",315.47
"Wauconda","golf","plantable",0
"Wauconda","industrial","plantable",0
"Wauconda","institutional","plantable",87.39
"Wauconda","natural area","plantable",145.77
"Wauconda","other","plantable",0
"Wauconda","park","plantable",68.57
"Wauconda","residential","plantable",767.92
"Wauconda","transit","plantable",260.66
"Wauconda","utility","plantable",25.78
"Wauconda","vacant","plantable",205.37
"Wauconda","water","plantable",9.35
"Waukegan","agriculture","plantable",856.14
"Waukegan","cemetery","plantable",20.98
"Waukegan","commercial","plantable",1283.63
"Waukegan","golf","plantable",337.43
"Waukegan","industrial","plantable",0
"Waukegan","institutional","plantable",429.54
"Waukegan","natural area","plantable",677.64
"Waukegan","other","plantable",5.07
"Waukegan","park","plantable",282.26
"Waukegan","residential","plantable",2123.07
"Waukegan","transit","plantable",1313.97
"Waukegan","utility","plantable",369.18
"Waukegan","vacant","plantable",853.48
"Waukegan","water","plantable",31.42
"Wayne","agriculture","plantable",287.79
"Wayne","cemetery","plantable",0
"Wayne","commercial","plantable",63.58
"Wayne","golf","plantable",5.38
"Wayne","industrial","plantable",0
"Wayne","institutional","plantable",6.64
"Wayne","natural area","plantable",627.91
"Wayne","other","plantable",0.74
"Wayne","park","plantable",3.94
"Wayne","residential","plantable",864.78
"Wayne","transit","plantable",96.15
"Wayne","utility","plantable",31.83
"Wayne","vacant","plantable",63.92
"Wayne","water","plantable",0
"Westchester","agriculture","plantable",0
"Westchester","cemetery","plantable",1.16
"Westchester","commercial","plantable",75.9
"Westchester","golf","plantable",244.44
"Westchester","industrial","plantable",0
"Westchester","institutional","plantable",53.6
"Westchester","natural area","plantable",61.32
"Westchester","other","plantable",0.01
"Westchester","park","plantable",36.17
"Westchester","residential","plantable",483.72
"Westchester","transit","plantable",123.19
"Westchester","utility","plantable",1.32
"Westchester","vacant","plantable",11.29
"Westchester","water","plantable",11.7
"WestChicago","agriculture","plantable",1140.1
"WestChicago","cemetery","plantable",11.7
"WestChicago","commercial","plantable",848.75
"WestChicago","golf","plantable",510.97
"WestChicago","industrial","plantable",0
"WestChicago","institutional","plantable",170.45
"WestChicago","natural area","plantable",417.37
"WestChicago","other","plantable",2.6
"WestChicago","park","plantable",296.9
"WestChicago","residential","plantable",886.32
"WestChicago","transit","plantable",1561.1
"WestChicago","utility","plantable",127.53
"WestChicago","vacant","plantable",536.73
"WestChicago","water","plantable",87.72
"WestDundee","agriculture","plantable",320.32
"WestDundee","cemetery","plantable",21.92
"WestDundee","commercial","plantable",142.09
"WestDundee","golf","plantable",155.34
"WestDundee","industrial","plantable",0
"WestDundee","institutional","plantable",56.18
"WestDundee","natural area","plantable",17.32
"WestDundee","other","plantable",0
"WestDundee","park","plantable",97.02
"WestDundee","residential","plantable",379.72
"WestDundee","transit","plantable",117.13
"WestDundee","utility","plantable",0.8
"WestDundee","vacant","plantable",154.59
"WestDundee","water","plantable",20.49
"WesternSprings","agriculture","plantable",0
"WesternSprings","cemetery","plantable",0
"WesternSprings","commercial","plantable",23.66
"WesternSprings","golf","plantable",0
"WesternSprings","industrial","plantable",0
"WesternSprings","institutional","plantable",61.71
"WesternSprings","natural area","plantable",0
"WesternSprings","other","plantable",0.29
"WesternSprings","park","plantable",57.99
"WesternSprings","residential","plantable",321.14
"WesternSprings","transit","plantable",113.86
"WesternSprings","utility","plantable",1.17
"WesternSprings","vacant","plantable",58.85
"WesternSprings","water","plantable",0
"Westmont","agriculture","plantable",0
"Westmont","cemetery","plantable",1.47
"Westmont","commercial","plantable",318.19
"Westmont","golf","plantable",159.64
"Westmont","industrial","plantable",0
"Westmont","institutional","plantable",85.09
"Westmont","natural area","plantable",0.02
"Westmont","other","plantable",0
"Westmont","park","plantable",96.35
"Westmont","residential","plantable",840.8
"Westmont","transit","plantable",227.44
"Westmont","utility","plantable",8.44
"Westmont","vacant","plantable",31.81
"Westmont","water","plantable",0.67
"Wheaton","agriculture","plantable",4.51
"Wheaton","cemetery","plantable",18.28
"Wheaton","commercial","plantable",307.99
"Wheaton","golf","plantable",5.78
"Wheaton","industrial","plantable",0
"Wheaton","institutional","plantable",454.72
"Wheaton","natural area","plantable",61.11
"Wheaton","other","plantable",6.18
"Wheaton","park","plantable",230
"Wheaton","residential","plantable",1611.08
"Wheaton","transit","plantable",442.78
"Wheaton","utility","plantable",9.27
"Wheaton","vacant","plantable",38.59
"Wheaton","water","plantable",0
"Wheeling","agriculture","plantable",103.02
"Wheeling","cemetery","plantable",1.59
"Wheeling","commercial","plantable",725.21
"Wheeling","golf","plantable",0
"Wheeling","industrial","plantable",0
"Wheeling","institutional","plantable",163.03
"Wheeling","natural area","plantable",27.21
"Wheeling","other","plantable",2.48
"Wheeling","park","plantable",114.7
"Wheeling","residential","plantable",739.41
"Wheeling","transit","plantable",438.81
"Wheeling","utility","plantable",162.38
"Wheeling","vacant","plantable",107.76
"Wheeling","water","plantable",22.36
"Willowbrook","agriculture","plantable",260.08
"Willowbrook","cemetery","plantable",5.43
"Willowbrook","commercial","plantable",223.66
"Willowbrook","golf","plantable",132.73
"Willowbrook","industrial","plantable",0
"Willowbrook","institutional","plantable",25.18
"Willowbrook","natural area","plantable",73.67
"Willowbrook","other","plantable",0.29
"Willowbrook","park","plantable",30.35
"Willowbrook","residential","plantable",744.24
"Willowbrook","transit","plantable",195.71
"Willowbrook","utility","plantable",8.04
"Willowbrook","vacant","plantable",52.66
"Willowbrook","water","plantable",33.62
"WillowSprings","agriculture","plantable",0
"WillowSprings","cemetery","plantable",0.34
"WillowSprings","commercial","plantable",90.33
"WillowSprings","golf","plantable",0.48
"WillowSprings","industrial","plantable",0
"WillowSprings","institutional","plantable",22.81
"WillowSprings","natural area","plantable",56.88
"WillowSprings","other","plantable",0.38
"WillowSprings","park","plantable",7.58
"WillowSprings","residential","plantable",223.26
"WillowSprings","transit","plantable",200.21
"WillowSprings","utility","plantable",144.76
"WillowSprings","vacant","plantable",125.33
"WillowSprings","water","plantable",5.94
"Wilmette","agriculture","plantable",0
"Wilmette","cemetery","plantable",0
